mm_dd,temperature_2016_2020_celsius,temperature_2046_2050_celsius,change,temperature_2046_2050_celsius_feelslike
03-08,29.8,31.3,1.4,37.5
03-09,30.2,31.1,1.1,37.3
03-10,29.6,31.1,1.6,37.3
03-11,29.1,31.3,2.0,37.7
03-12,29.5,31.0,1.8,37.4
03-13,29.6,31.4,1.4,38.0
03-14,29.7,31.1,1.8,37.0
03-15,29.9,30.9,1.2,36.6
03-16,30.4,31.6,0.5,37.7
03-17,29.5,32.4,2.1,38.9
03-18,30.0,32.0,2.3,38.5
03-19,29.4,32.1,2.6,38.8
03-20,30.0,31.5,2.1,37.8
03-21,30.1,31.5,1.4,38.2
03-22,29.8,30.4,1.7,36.0
03-23,30.2,30.8,0.2,36.7
03-24,29.6,30.8,1.2,36.8
03-25,29.4,31.1,1.5,37.3
03-26,28.7,31.6,2.3,38.4
03-27,29.4,30.8,2.2,36.9
03-28,29.3,30.5,1.5,36.6
03-29,29.2,31.5,1.3,38.5
03-30,29.6,31.4,1.8,38.2
03-31,30.2,31.5,1.2,38.4
04-01,30.0,32.1,1.5,39.5
04-02,29.8,32.1,2.2,39.5
04-03,29.9,30.7,2.2,37.1
04-04,30.1,30.2,0.6,36.2
04-05,30.4,29.3,-0.2,34.6
04-06,29.9,31.2,-0.6,38.0
04-07,29.5,31.5,1.7,38.4
04-08,28.8,31.2,2.8,37.8
